timestamp,ISODate,IdBundesland,Bundesland,Impfungenkumulativ,DifferenzzumVortag,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn
1609632000,2021-01-03,15,Sachsen-Anhalt,12822,1051,4237,6194,546,6410
1609632000,2021-01-03,16,Thüringen,810,0,232,297,0,413
1609718400,2021-01-04,0,Gesamt,264952,22234,62805,122406,7999,114317
1609718400,2021-01-04,1,Schleswig-Holstein,9557,624,2801,5317,2325,4512
1609718400,2021-01-04,2,Hamburg,4140,436,1616,2189,0,1953
1609718400,2021-01-04,3,Niedersachsen,5394,432,992,2822,1035,3178
1609718400,2021-01-04,4,Bremen,1903,66,824,506,9,289
1609718400,2021-01-04,5,Nordrhein-Westfalen,53841,3539,0,21354,0,32495
1609718400,2021-01-04,6,Hessen,33405,3320,9387,19405,1185,12955
1609718400,2021-01-04,7,Rheinland-Pfalz,7248,0,0,3516,0,3732
1609718400,2021-01-04,8,Baden-Württemberg,27454,3390,12584,8739,1469,4932
1609718400,2021-01-04,9,Bayern,66258,8425,15480,31755,1280,23823
1609718400,2021-01-04,10,Saarland,4149,0,3122,495,0,1580
1609718400,2021-01-04,11,Berlin,17758,935,10507,6132,105,11625
1609718400,2021-01-04,12,Brandenburg,3309,0,204,3085,20,224
1609718400,2021-01-04,13,Mecklenburg-Vorpommern,11494,0,178,6583,8,4804
1609718400,2021-01-04,14,Sachsen,4866,523,487,3765,1,1100
1609718400,2021-01-04,15,Sachsen-Anhalt,13366,544,4391,6446,562,6702
1609718400,2021-01-04,16,Thüringen,810,0,232,297,0,413
1609804800,2021-01-05,0,Gesamt,316962,44563,73734,149727,10216,131885
1609804800,2021-01-05,1,Schleswig-Holstein,12978,3421,3427,6611,2716,5616
1609804800,2021-01-05,2,Hamburg,4756,616,1704,2698,0,2060
1609804800,2021-01-05,3,Niedersachsen,8665,3271,1791,4198,1915,5251
1609804800,2021-01-05,4,Bremen,2653,700,942,811,18,651
1609804800,2021-01-05,5,Nordrhein-Westfalen,62692,4435,0,25744,0,36956
1609804800,2021-01-05,6,Hessen,37795,4390,10329,22051,1492,14561
1609804800,2021-01-05,7,Rheinland-Pfalz,9891,1609,0,5435,0,4456
1609804800,2021-01-05,8,Baden-Württemberg,32182,4758,15546,9828,1716,5642
1609804800,2021-01-05,9,Bayern,77876,11618,18188,38306,1554,26500
1609804800,2021-01-05,10,Saarland,4836,687,3655,584,0,1823
